City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Guerrero Negro,MX,82.22,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
209,Basudebpur,IN,84.07,light rain,21.1353,86.7386,"Teli Sahi Chhak,Basathi"
211,Ahuimanu,US,85.71,few clouds,21.4447,-157.8378,Paradise Bay Resort
216,Seydi,TM,85.41,few clouds,39.4816,62.9137,Seydi oteli
220,Srandakan,ID,75.4,scattered clouds,-7.9386,110.2506,Puri Brata
222,Kuching,MY,75.42,thunderstorm with light rain,1.55,110.3333,The Ranee Boutique Suites
227,Kaspiyskiy,RU,81.18,clear sky,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
234,Road Town,VG,86.04,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
237,Platanos,GR,77.7,scattered clouds,37.6667,21.6167,Hotel Kronio
241,Manbij,SY,86.77,clear sky,36.5281,37.9549,Manbej City Hotel
247,Koudougou,BF,85.41,scattered clouds,12.25,-2.3667,VAREK OCADES
250,Las Palmas,ES,79.59,clear sky,28.4204,-14.0131,Casillas De Morales 59.
254,Jand,PK,75.85,overcast clouds,33.4299,72.0193,Mohalla Takia
259,Havre-Saint-Pierre,CA,75.56,clear sky,50.2334,-63.5986,Auberge Niapiskau
263,Puerto Baquerizo Moreno,EC,77.99,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
268,Elliot Lake,CA,80.69,scattered clouds,46.3834,-82.6331,Paris Plaza
269,Faanui,PF,79.02,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
270,Tezu,IN,76.98,overcast clouds,27.9167,96.1667,Circuit House
271,Tabou,CI,76.51,broken clouds,4.423,-7.3528,hotêl doufoulougou
273,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
274,Romitan,UZ,76.95,clear sky,39.9343,64.3814,Hotel Temur
276,Santarem,BR,86.13,few clouds,-2.4431,-54.7083,Ecotur Lodge
278,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
280,Tamandare,BR,75.88,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
284,Mormugao,IN,78.85,overcast clouds,15.4,73.8,Coconut Creek Resort
285,Mantua,IT,79.84,clear sky,45.1667,10.7833,Hotel la Favorita
289,Shelburne,CA,83.75,clear sky,44.0787,-80.2041,The Retreat at the Farm
290,Calafell,ES,83.03,clear sky,41.2,1.5683,Hotel Kursaal Calafell Playa
291,Makhinjauri,GE,78.66,clear sky,41.6739,41.694,Golden Anchor
295,Anloga,GH,79.02,broken clouds,5.7947,0.8973,Pin Drop Hotel
298,Bambanglipuro,ID,75.36,scattered clouds,-7.95,110.2833,Puri Brata
301,Fujin,CN,75.34,broken clouds,47.26,132.0322,Xilong Hotel Fujin Shop
313,Santa Cruz Del Norte,CU,87.73,scattered clouds,23.1539,-81.9236,Felipon Pon Pon
314,Nichinan,JP,77.05,overcast clouds,31.6,131.3667,Guest House Aki
317,Balkhash,KZ,76.24,broken clouds,46.844,74.9804,Family
321,Labuhan,ID,77.5,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
322,Conakry,GN,80.67,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
323,Isangel,VU,75.52,few clouds,-19.55,169.2667,Tanna Lodge
325,Hami,CN,86.32,overcast clouds,42.8,93.45,Laoyutang Resort
326,Cortes,ES,88.39,clear sky,41.9395,-1.4396,Rincon de bu
327,Isla Aguada,MX,83.1,scattered clouds,18.7833,-91.4667,Freedom Shores
333,Dingle,PH,76.6,light rain,10.9995,122.6711,SEGAYA PROPERTY
335,Haimen,CN,78.69,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
337,Puri,IN,86.38,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
339,College,US,76.59,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
343,Makakilo City,US,84.52,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
345,Virginia Beach,US,79.02,light rain,36.8529,-75.978,Hilton Virginia Beach Oceanfront
348,Luwuk,ID,75.33,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
349,Puerto Escondido,MX,88.09,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
350,Pemangkat,ID,79.75,broken clouds,1.1667,108.9667,Ramah Kost KITA
353,Itacarambi,BR,80.62,clear sky,-15.1022,-44.0919,POUSADA CAMALEÃO
354,Winder,US,82.71,broken clouds,33.9926,-83.7202,Jameson Inn Winder
358,Bonavista,CA,78.8,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
361,Gashua,NG,83.26,clear sky,12.871,11.0482,Forte Oil - Old Lorry Park
363,Bubaque,GW,81.19,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
364,Santa Catarina De Tepehuanes,MX,82.42,scattered clouds,25.35,-105.7333,hotel plaza
366,Kahului,US,83.46,very heavy rain,20.8947,-156.47,Maui Seaside Hotel
370,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
372,Broome,US,83.17,clear sky,42.2506,-75.833,Chenango Valley State Park
377,Sao Felix Do Xingu,BR,87.57,clear sky,-6.6447,-51.995,Rio Xingu Camping
378,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
380,Nara,JP,79.25,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
386,Acoyapa,NI,82.49,broken clouds,11.9703,-85.1711,Hotel y Restaurante Los Robles
389,Eyl,SO,78.31,overcast clouds,7.9803,49.8164,Amiin Hotel
399,Muroto,JP,76.93,overcast clouds,33.2833,134.15,Oota Ryokan
400,Auki,SB,79.0,overcast clouds,-8.7676,160.7034,Auki Motel
404,Balabac,PH,82.36,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
409,Kushima,JP,76.66,overcast clouds,31.4583,131.2333,Hanaoka
410,Cranbrook,CA,84.04,scattered clouds,49.4999,-115.7688,Almo Court Motel
411,Ternate,ID,78.94,light rain,0.8,127.4,Grand Dafam Bela Ternate
412,Pembroke,CA,78.78,clear sky,45.8168,-77.1162,Econo Lodge Inn & Suites
415,Rayong,TH,83.97,light rain,12.8333,101.4333,Suan Palm Garden View Hotel
417,Jacqueville,CI,78.71,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
