City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mar Del Plata,AR,-38.0023,-57.5575,54.88,63,0,5.99,clear sky
80,Sovetskiy,RU,61.3614,63.5842,59.4,74,3,4.52,clear sky
81,Lapua,FI,62.9693,23.0088,57.22,61,97,9.1,overcast clouds
82,Jamestown,US,42.097,-79.2353,82.09,58,0,4.0,clear sky
83,Oeiras Do Para,BR,-2.0031,-49.8544,82.58,72,48,1.39,scattered clouds
84,Narsaq,GL,60.9167,-46.05,45.3,98,100,4.32,overcast clouds
85,Iqaluit,CA,63.7506,-68.5145,47.93,61,75,6.91,broken clouds
86,Kashan,IR,33.9831,51.4364,91.56,23,56,3.94,broken clouds
87,Prince Albert,CA,53.2001,-105.7677,62.55,77,90,9.22,overcast clouds
88,Waddan,LY,29.1614,16.139,83.39,34,0,10.02,clear sky
89,Pevek,RU,69.7008,170.3133,37.69,86,23,4.25,few clouds
90,Livingstonia,MW,-10.606,34.1063,55.58,73,1,3.69,clear sky
91,Hasaki,JP,35.7333,140.8333,75.49,88,1,7.34,clear sky
92,Port Hardy,CA,50.6996,-127.4199,64.58,59,75,3.44,broken clouds
93,Huilong,CN,31.8111,121.655,81.99,89,72,12.68,broken clouds
94,Tiksi,RU,71.6872,128.8694,54.73,90,100,8.88,light rain
95,Saskylakh,RU,71.9167,114.0833,51.71,90,92,7.43,overcast clouds
96,Maryville,US,35.7565,-83.9705,84.58,80,100,1.01,overcast clouds
97,Okhotsk,RU,59.3833,143.3,59.83,80,10,5.93,clear sky
98,Tura,IN,25.5198,90.2201,74.01,98,100,4.23,overcast clouds
99,Atar,MR,20.5169,-13.0499,100.38,17,7,11.72,clear sky
100,Kieta,PG,-6.2167,155.6333,78.71,86,100,6.06,overcast clouds
101,Manadhoo,MV,5.7667,73.3833,82.87,74,94,12.82,overcast clouds
102,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.35,62,75,18.41,broken clouds
103,Nabire,ID,-3.3667,135.4833,75.09,91,92,3.11,overcast clouds
104,Bredasdorp,ZA,-34.5322,20.0403,52.92,82,100,3.44,light rain
105,Bhinmal,IN,25.0,72.25,82.85,77,100,20.45,overcast clouds
106,Nizwa,OM,22.9333,57.5333,87.98,55,49,4.74,scattered clouds
107,Uyuni,BO,-20.4597,-66.825,50.14,16,30,7.02,scattered clouds
108,Lorengau,PG,-2.0226,147.2712,79.54,83,100,2.68,moderate rain
109,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,56,0,16.11,clear sky
110,Rio Gallegos,AR,-51.6226,-69.2181,48.25,53,75,4.61,broken clouds
111,Batticaloa,LK,7.7102,81.6924,80.92,71,100,6.91,overcast clouds
112,Vostok,RU,46.4856,135.8833,70.84,79,22,1.59,few clouds
113,Avarua,CK,-21.2078,-159.775,80.65,74,75,17.27,broken clouds
114,Pokosnoye,RU,55.5258,101.0536,55.26,89,9,3.96,clear sky
115,Havelock,US,34.8791,-76.9013,80.6,85,75,5.01,broken clouds
116,Kedgwick,CA,47.6446,-67.3434,81.27,43,96,0.94,overcast clouds
117,Mogadishu,SO,2.0371,45.3438,76.48,82,96,19.33,overcast clouds
118,Meulaboh,ID,4.1363,96.1285,75.51,90,100,4.68,overcast clouds
119,Kihei,US,20.785,-156.4656,83.46,82,75,8.37,broken clouds
120,Gat,IL,31.61,34.7642,81.81,100,11,8.46,few clouds
121,Mizdah,LY,31.4451,12.9801,75.04,47,0,9.46,clear sky
122,Richards Bay,ZA,-28.783,32.0377,62.26,74,0,13.09,clear sky
123,Carnarvon,AU,-24.8667,113.6333,55.47,76,7,9.22,clear sky
